tzid,windowsName,windowsId
America/Barbados,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/St_Barthelemy,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Kralendijk,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Manaus America/Boa_Vista America/Porto_Velho,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Blanc-Sablon,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Curacao,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Dominica,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Santo_Domingo,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Grenada,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Guadeloupe,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Guyana,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/St_Kitts,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/St_Lucia,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Marigot,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Martinique,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Montserrat,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Puerto_Rico,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Lower_Princes,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Port_of_Spain,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/St_Vincent,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Tortola,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/St_Thomas,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
Etc/GMT+4,"Georgetown, La Paz, Manaus, San Juan",SA Western Standard Time
America/Santiago,Santiago,Pacific SA Standard Time
Antarctica/Palmer,Santiago,Pacific SA Standard Time
America/Grand_Turk,Turks and Caicos,Turks And Caicos Standard Time
America/St_Johns,Newfoundland,Newfoundland Standard Time
America/Araguaina,Araguaina,Tocantins Standard Time
America/Sao_Paulo,Brasilia,E. South America Standard Time
America/Cayenne,"Cayenne, Fortaleza",SA Eastern Standard Time
Antarctica/Rothera,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Fortaleza America/Belem America/Maceio America/Recife America/Santarem,"Cayenne, Fortaleza",SA Eastern Standard Time
Atlantic/Stanley,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Paramaribo,"Cayenne, Fortaleza",SA Eastern Standard Time
Etc/GMT+3,"Cayenne, Fortaleza",SA Eastern Standard Time
America/Buenos_Aires,City of Buenos Aires,Argentina Standard Time
America/Buenos_Aires America/Argentina/La_Rioja America/Argentina/Rio_Gallegos America/Argentina/Salta America/Argentina/San_Juan America/Argentina/San_Luis America/Argentina/Tucuman America/Argentina/Ushuaia America/Catamarca America/Cordoba America/Jujuy America/Mendoza,City of Buenos Aires,Argentina Standard Time
America/Godthab,Greenland,Greenland Standard Time
America/Montevideo,Montevideo,Montevideo Standard Time
America/Miquelon,Saint Pierre and Miquelon,Saint Pierre Standard Time
America/Bahia,Salvador,Bahia Standard Time
Etc/GMT+2,Coordinated Universal Time-02,UTC-02
America/Noronha,Coordinated Universal Time-02,UTC-02
Atlantic/South_Georgia,Coordinated Universal Time-02,UTC-02
Atlantic/Azores,Azores,Azores Standard Time
America/Scoresbysund,Azores,Azores Standard Time
Atlantic/Cape_Verde,Cabo Verde Is.,Cape Verde Standard Time
Etc/GMT+1,Cabo Verde Is.,Cape Verde Standard Time
Etc/GMT,Coordinated Universal Time,UTC
America/Danmarkshavn,Coordinated Universal Time,UTC
Africa/Casablanca,Casablanca,Morocco Standard Time
Africa/El_Aaiun,Casablanca,Morocco Standard Time
Europe/London,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Atlantic/Canary,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Atlantic/Faeroe,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Europe/Guernsey,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Europe/Dublin,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Europe/Isle_of_Man,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Europe/Jersey,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Europe/Lisbon Atlantic/Madeira,"Dublin, Edinburgh, Lisbon, London",GMT Standard Time
Atlantic/Reykjavik,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Ouagadougou,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Abidjan,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Accra,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Banjul,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Conakry,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Bissau,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Monrovia,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Bamako,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Nouakchott,"Monrovia, Reykjavik",Greenwich Standard Time
Atlantic/St_Helena,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Freetown,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Dakar,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Sao_Tome,"Monrovia, Reykjavik",Greenwich Standard Time
Africa/Lome,"Monrovia, Reykjavik",Greenwich Standard Time
Europe/Berlin,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Andorra,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Vienna,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Zurich,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Berlin Europe/Busingen,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Gibraltar,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Rome,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Vaduz,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Luxembourg,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Monaco,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Malta,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Amsterdam,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Oslo,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Stockholm,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Arctic/Longyearbyen,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/San_Marino,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Vatican,"Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna",W. Europe Standard Time
Europe/Budapest,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Tirane,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Prague,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Podgorica,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Belgrade,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Ljubljana,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Bratislava,"Belgrade, Bratislava, Budapest, Ljubljana, Prague",Central Europe Standard Time
Europe/Paris,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
Europe/Brussels,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
Europe/Copenhagen,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
Europe/Madrid Africa/Ceuta,"Brussels, Copenhagen, Madrid, Paris",Romance Standard Time
Europe/Warsaw,"Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time
Europe/Sarajevo,"Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time
Europe/Zagreb,"Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time
Europe/Skopje,"Sarajevo, Skopje, Warsaw, Zagreb",Central European Standard Time
Africa/Lagos,West Central Africa,W. Central Africa Standard Time
Africa/Luanda,West Central Africa,W. Central Africa Standard Time
Africa/Porto-Novo,West Central Africa,W. Central Africa Standard Time
Africa/Kinshasa,West Central Africa,W. Central Africa Standard Time
Africa/Bangui,West Central Africa,W. Central Africa Standard Time
Africa/Brazzaville,West Central Africa,W. Central Africa Standard Time
Africa/Douala,West Central Africa,W. Central Africa Standard Time
Africa/Algiers,West Central Africa,W. Central Africa Standard Time
Africa/Libreville,West Central Africa,W. Central Africa Standard Time
Africa/Malabo,West Central Africa,W. Central Africa Standard Time
Africa/Niamey,West Central Africa,W. Central Africa Standard Time
Africa/Ndjamena,West Central Africa,W. Central Africa Standard Time
Africa/Tunis,West Central Africa,W. Central Africa Standard Time
Etc/GMT-1,West Central Africa,W. Central Africa Standard Time
Africa/Windhoek,Windhoek,Namibia Standard Time
Asia/Amman,Amman,Jordan Standard Time
Europe/Bucharest,"Athens, Bucharest",GTB Standard Time
Asia/Nicosia,"Athens, Bucharest",GTB Standard Time
Europe/Athens,"Athens, Bucharest",GTB Standard Time
Asia/Beirut,Beirut,Middle East Standard Time
Africa/Cairo,Cairo,Egypt Standard Time
Europe/Chisinau,Chisinau,E. Europe Standard Time
Asia/Damascus,Damascus,Syria Standard Time
Asia/Hebron,"Gaza, Hebron",West Bank Standard Time
Asia/Hebron Asia/Gaza,"Gaza, Hebron",West Bank Standard Time
Africa/Johannesburg,"Harare, Pretoria",South Africa Standard Time
Africa/Bujumbura,"Harare, Pretoria",South Africa Standard Time
Africa/Gaborone,"Harare, Pretoria",South Africa Standard Time
Africa/Lubumbashi,"Harare, Pretoria",South Africa Standard Time
Africa/Maseru,"Harare, Pretoria",South Africa Standard Time
Africa/Blantyre,"Harare, Pretoria",South Africa Standard Time
Africa/Maputo,"Harare, Pretoria",South Africa Standard Time
Africa/Kigali,"Harare, Pretoria",South Africa Standard Time
Africa/Mbabane,"Harare, Pretoria",South Africa Standard Time
Africa/Lusaka,"Harare, Pretoria",South Africa Standard Time
Africa/Harare,"Harare, Pretoria",South Africa Standard Time
Etc/GMT-2,"Harare, Pretoria",South Africa Standard Time
Europe/Kiev,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Mariehamn,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Sofia,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Tallinn,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Helsinki,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Vilnius,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Riga,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Kiev Europe/Uzhgorod Europe/Zaporozhye,"Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time
Europe/Istanbul,Istanbul,Turkey Standard Time
Asia/Jerusalem,Jerusalem,Israel Standard Time
Europe/Kaliningrad,Kaliningrad,Kaliningrad Standard Time
Africa/Tripoli,Tripoli,Libya Standard Time
Asia/Baghdad,Baghdad,Arabic Standard Time
Asia/Riyadh,"Kuwait, Riyadh",Arab Standard Time
Asia/Bahrain,"Kuwait, Riyadh",Arab Standard Time
Asia/Kuwait,"Kuwait, Riyadh",Arab Standard Time
Asia/Qatar,"Kuwait, Riyadh",Arab Standard Time
Asia/Aden,"Kuwait, Riyadh",Arab Standard Time
Europe/Minsk,Minsk,Belarus Standard Time
Europe/Moscow,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
Europe/Moscow Europe/Kirov Europe/Simferopol Europe/Volgograd,"Moscow, St. Petersburg, Volgograd",Russian Standard Time
Africa/Nairobi,Nairobi,E. Africa Standard Time
Antarctica/Syowa,Nairobi,E. Africa Standard Time
Africa/Djibouti,Nairobi,E. Africa Standard Time
Africa/Asmera,Nairobi,E. Africa Standard Time
Africa/Addis_Ababa,Nairobi,E. Africa Standard Time
Indian/Comoro,Nairobi,E. Africa Standard Time
Indian/Antananarivo,Nairobi,E. Africa Standard Time
